0 26 27 28 29 30 31 32 33 34 35 36 37 38 39 6 41 42 43 44 45 46 47 48 49 1 2 3 4 5 40 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 
0 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 31 30 29 32 33 34 35 36 37 38 46 40 41 42 43 44 45 39 47 48 49 1 2 3 4 5 6 
0 1 2 3 4 5 40 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 6 41 42 43 44 45 46 47 48 49 
0 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 31 30 29 32 33 34 35 36 37 38 46 40 41 42 43 44 45 39 47 48 49 1 2 3 4 5 
0 8 9 10 11 12 13 14 15 25 17 18 19 20 21 36 23 24 16 26 27 28 29 30 33 32 31 34 35 22 37 38 39 40 41 42 43 44 45 46 47 48 49 1 2 3 4 5 6 7 
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 41 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 17 42 43 44 45 46 47 48 49 
0 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 31 30 29 32 33 34 35 36 37 38 46 40 41 42 43 44 45 39 47 48 49 1 2 3 
0 40 41 42 43 44 45 46 47 48 49 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 25 17 18 19 20 21 36 23 24 16 26 27 28 29 30 31 32 33 34 35 22 37 38 39 
0 26 27 28 29 21 31 32 33 17 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 6 2 3 4 5 1 7 8 9 10 11 12 13 14 15 16 34 18 19 20 30 22 23 24 25 
0 8 9 10 11 12 13 14 15 16 34 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 17 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 6 2 3 4 5 1 7 
0 44 45 41 47 48 49 1 2 3 4 5 31 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 6 32 33 34 35 36 37 38 39 40 46 42 43 
0 47 48 49 6 2 3 4 5 1 7 8 9 10 11 12 13 14 15 16 34 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 17 35 36 37 38 39 40 41 42 43 44 45 46 
0 4 5 6 7 8 9 10 11 12 13 14 15 16 47 18 19 20 21 22 23 24 25 26 27 28 29 37 31 32 33 34 35 36 30 38 39 40 41 42 43 44 45 46 17 48 49 1 2 3 
0 14 15 16 17 18 19 3 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 1 2 20 4 5 6 7 8 9 10 11 12 13 
