0 1 2 15 4 5 6 7 8 24 11 10 12 13 14 3 16 17 18 19 20 21 22 23 9 25 26 27 28 29 30 31 32 33 
0 11 2 3 4 5 6 7 8 9 10 1 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 
0 1 2 3 4 5 6 7 8 9 10 11 12 13 20 15 16 17 18 19 14 21 22 23 24 25 26 27 28 29 30 31 32 33 
0 1 2 3 29 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 4 30 31 32 33 
0 18 19 20 21 22 23 24 25 26 27 28 29 5 31 4 33 1 2 3 32 30 6 7 8 9 10 11 12 13 14 15 16 17 
0 1 2 3 4 28 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 5 29 30 31 32 33 
0 24 25 26 27 5 29 30 31 32 33 1 2 3 4 28 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 
0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 21 16 17 18 19 20 15 22 23 24 25 26 27 28 29 30 31 32 33 
0 1 2 3 24 10 9 7 8 6 4 11 12 13 14 15 16 17 18 19 20 21 22 23 5 25 26 27 28 29 30 31 32 33 
0 32 33 1 2 3 4 5 21 7 8 9 10 11 12 13 14 15 16 17 18 19 20 6 22 23 24 25 26 27 28 29 30 31 
0 1 2 28 4 5 6 7 8 9 10 13 12 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 3 29 30 31 32 33 
0 4 2 3 1 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 
0 30 31 32 33 1 2 3 4 5 21 7 8 9 10 11 12 13 14 15 16 17 18 19 20 6 22 23 24 25 26 27 28 29 
0 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 4 2 3 1 
0 21 22 23 15 25 26 27 28 29 30 31 32 33 17 2 3 4 5 6 7 24 9 10 11 12 13 14 8 16 1 18 19 20 
0 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 4 2 3 1 5 6 7 8 9 10 
